corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	82850	Dosa asal bukan hanya kerusakan yang diwariskan, tetapi juga, menurut Calvin, merupakan kesalahan yang diimputasikan, suatu putusan hukum yang	dikenakan	oleh Allah seperti dalam sidang pengadilan.	Dosa asal bukan hanya kerusakan yang diwariskan, tetapi juga, menurut Calvin, merupakan kesalahan yang diimputasikan, suatu putusan hukum yang <m>dikenakan</m> oleh Allah seperti dalam sidang pengadilan.	subject to/imposed
ind_mixed_2012_1M	127855	Dengan demikian maka “kemanusiaan” yang diambil dan	dikenakan	oleh Firman Allah “dalam penjelmaanNya” itu pastilah berasal dari “Sang Perawan Maryam” ini.	Dengan demikian maka “kemanusiaan” yang diambil dan <m>dikenakan</m> oleh Firman Allah “dalam penjelmaanNya” itu pastilah berasal dari “Sang Perawan Maryam” ini.	wear-metaphorical
ind_mixed_2012_1M	153901	""" bahwa pantyhose yang"	dikenakan	oleh kaum perempuan, berkembang dari gaya berpakaian laki-laki?	""" bahwa pantyhose yang <m>dikenakan</m> oleh kaum perempuan, berkembang dari gaya berpakaian laki-laki?"	wear
ind_mixed_2012_1M	63931	Setidaknya, pemerintah harus membatasi biaya-biaya yang	dikenakan	oleh lembaga pendidikan swasta.	Setidaknya, pemerintah harus membatasi biaya-biaya yang <m>dikenakan</m> oleh lembaga pendidikan swasta.	subject to/imposed
ind_mixed_2012_1M	496301	Perbedaan wilayah ini tampak dari pakaian yang	dikenakan	oleh masing-masing land lord.	Perbedaan wilayah ini tampak dari pakaian yang <m>dikenakan</m> oleh masing-masing land lord.	wear
ind_mixed_2012_1M	432371	XXX tadi adalah 5% (ini sudah 2x lipat dari biaya pengelolaan investasi yang	dikenakan	oleh MI yang dipake oleh Perush.	XXX tadi adalah 5% (ini sudah 2x lipat dari biaya pengelolaan investasi yang <m>dikenakan</m> oleh MI yang dipake oleh Perush.	subject to/imposed
ind_mixed_2012_1M	494500	""" bahwa dasi pertama kali"	dikenakan	oleh orang Kroasia?	""" bahwa dasi pertama kali <m>dikenakan</m> oleh orang Kroasia?"	wear
ind_mixed_2012_1M	608244	Di antara cara-cara untuk melakukannya adalah sebagai berikut: Perintahkan siswa untuk berbusana seperti yang	dikenakan	oleh orang-orang dalam situasi itu.	Di antara cara-cara untuk melakukannya adalah sebagai berikut: Perintahkan siswa untuk berbusana seperti yang <m>dikenakan</m> oleh orang-orang dalam situasi itu.	wear
ind_mixed_2012_1M	669380	Pakaian yang tak dapat dibedakan dari yang biasa	dikenakan	oleh para “salarymen” Jepang ini diproduksi dalam empat warna dan model, seperti medium grey, charcoal, navy dan grey pinstripe.	Pakaian yang tak dapat dibedakan dari yang biasa <m>dikenakan</m> oleh para “salarymen” Jepang ini diproduksi dalam empat warna dan model, seperti medium grey, charcoal, navy dan grey pinstripe.	wear
ind_mixed_2012_1M	620958	Ada beberapa penduduk setempat yang bahkan menanyakan para inisiat di mana mereka dapat memperoleh kaus menarik yang dirancang secara khusus dan bertuliskan pesan ‘Cara Hidup Alternatif’ yang	dikenakan	oleh para inisiat.	Ada beberapa penduduk setempat yang bahkan menanyakan para inisiat di mana mereka dapat memperoleh kaus menarik yang dirancang secara khusus dan bertuliskan pesan ‘Cara Hidup Alternatif’ yang <m>dikenakan</m> oleh para inisiat.	wear
ind_mixed_2012_1M	841078	Sejak orang-orang itu melihat pakaian khusus yang	dikenakan	oleh perempuan itu, maka mereka memang sudah mengira, bahwa serba sedikit perempuan itu memiliki kemampuan olah kanuragan.	Sejak orang-orang itu melihat pakaian khusus yang <m>dikenakan</m> oleh perempuan itu, maka mereka memang sudah mengira, bahwa serba sedikit perempuan itu memiliki kemampuan olah kanuragan.	wear
ind_mixed_2012_1M	952337	Kebaya	dikenakan	oleh sebagian besar wanita di Indonesia dengan wilayah penyebaran antara lain: Pulau Jawa dari Jawa Barat, Jawa Tengah, DIY.	Kebaya <m>dikenakan</m> oleh sebagian besar wanita di Indonesia dengan wilayah penyebaran antara lain: Pulau Jawa dari Jawa Barat, Jawa Tengah, DIY.	wear
ind_mixed_2012_1M	697558	Dari arah depan, sarung yang	dikenakan	oleh seseorang dengan teknik ini, akan menampilkan sibakan bentuk seperti huruf ”A” dimana bagian atas lipatan sarung akan terbuka dan semakin melebar sampai ke bagian bawahnya secara simetris.	Dari arah depan, sarung yang <m>dikenakan</m> oleh seseorang dengan teknik ini, akan menampilkan sibakan bentuk seperti huruf ”A” dimana bagian atas lipatan sarung akan terbuka dan semakin melebar sampai ke bagian bawahnya secara simetris.	wear
ind_mixed_2012_1M	596688	Sedang untuk kebaya biasa	dikenakan	oleh wanita di Jawa, Madura, Bali dan Kalimantan.	Sedang untuk kebaya biasa <m>dikenakan</m> oleh wanita di Jawa, Madura, Bali dan Kalimantan.	wear
ind_mixed_2012_1M	173199	Seperti yang	dikenakan	oleh Yusup dari Bandung Selatan Tiger Club (BSTC).	Seperti yang <m>dikenakan</m> oleh Yusup dari Bandung Selatan Tiger Club (BSTC).	wear
ind_mixed_2012_1M	503921	Celana pendek mini yang	dikenakan	Olga membuat mereka hampir tak bisa mengalihkan pandangan mereka dari paha Olga yang terpampang jelas.	Celana pendek mini yang <m>dikenakan</m> Olga membuat mereka hampir tak bisa mengalihkan pandangan mereka dari paha Olga yang terpampang jelas.	wear
ind_mixed_2012_1M	950232	Mobilnya bisa dimuati 21 orang, kalau dijalan ada yang ikut menumpang	dikenakan	ongkos 3 ribu rupiah untuk sekali jalan.	Mobilnya bisa dimuati 21 orang, kalau dijalan ada yang ikut menumpang <m>dikenakan</m> ongkos 3 ribu rupiah untuk sekali jalan.	subject to/imposed
ind_mixed_2012_1M	114402	Dia hanya menggigit bibir malu-malu meskipun begitu tangannya bekerja juga menyusup di balik handuk yang	dikenakan	Oom Rony dan segera memijat daerah selangkangan yang dimaksud untuk merangsang kejantanannya.	Dia hanya menggigit bibir malu-malu meskipun begitu tangannya bekerja juga menyusup di balik handuk yang <m>dikenakan</m> Oom Rony dan segera memijat daerah selangkangan yang dimaksud untuk merangsang kejantanannya.	wear
ind_mixed_2012_1M	808480	Tapi diam-diam dia melirik memperhatikan sepasang sarung tangan yang	dikenakan	orang.	Tapi diam-diam dia melirik memperhatikan sepasang sarung tangan yang <m>dikenakan</m> orang.	wear
